num_groups,area_avg,area_max,area_min,area_std,label
6,2986.3333333333335,17686.5,0.0,6574.48537064985,No Impairment
9,1067.6666666666667,3421.0,0.0,1320.8458989938563,No Impairment
5,4072.8,20329.0,0.0,8128.110066922077,No Impairment
6,4202.416666666667,23779.0,3.5,8760.845979968044,No Impairment
5,5103.2,24418.0,2.0,9664.9342812044,No Impairment
20,237.125,2370.5,0.0,577.8130509732365,No Impairment
8,2953.5,22344.0,0.0,7333.503754175081,No Impairment
4,6537.75,26149.5,0.0,11322.849158339079,No Impairment
4,6061.25,22936.5,1.5,9747.112197338245,No Impairment
5,5012.5,25016.0,0.0,10001.753621240627,No Impairment
7,3360.1428571428573,22336.0,0.5,7749.647253328399,No Impairment
6,4011.3333333333335,22979.5,0.0,8486.41292334727,No Impairment
9,2113.8888888888887,18570.0,0.0,5818.8036512756435,No Impairment
10,2107.65,20767.5,0.0,6220.138314579507,No Impairment
6,3749.8333333333335,21441.5,12.5,7915.167547535274,No Impairment
8,2962.1875,23204.5,0.0,7651.575997537615,No Impairment
9,2796.4444444444443,24241.0,0.0,7584.126813595047,No Impairment
6,3746.5833333333335,22402.5,0.0,8343.212997284414,No Impairment
15,1558.3333333333333,22582.5,0.0,5619.854653122466,No Impairment
7,3377.0714285714284,22343.5,0.0,7747.102690815504,No Impairment
2,12071.25,24127.5,15.0,12056.25,No Impairment
10,2068.0,19841.5,0.0,5925.6474287625315,No Impairment
4,6114.5,24110.5,0.0,10390.795295596965,No Impairment
2,11894.75,23779.0,10.5,11884.25,No Impairment
9,2748.3333333333335,24710.5,0.0,7764.799836441375,No Impairment
5,4770.8,22852.5,27.0,9042.934974885091,No Impairment
3,8185.5,23230.5,485.0,10639.414230429544,No Impairment
3,6413.666666666667,19239.5,0.0,9069.233745042753,No Impairment
5,4972.1,24306.5,0.0,9668.317575462652,No Impairment
4,6486.875,25673.5,0.0,11077.958653193962,No Impairment
7,3124.285714285714,21112.5,1.0,7347.257830827299,No Impairment
8,3053.0,22943.5,0.0,7524.873300428387,No Impairment
3,8486.0,24607.0,18.5,11404.111239665574,No Impairment
6,3967.6666666666665,22903.0,0.0,8470.535312022625,No Impairment
6,2616.75,15374.0,0.0,5705.707776355766,No Impairment
4,6105.25,24421.0,0.0,10574.603192909888,No Impairment
5,4285.1,20702.0,0.5,8210.27326220023,No Impairment
10,1830.25,17874.0,0.0,5348.511060332586,No Impairment
2,13170.5,25555.0,786.0,12384.5,No Impairment
7,3497.6428571428573,23372.0,0.0,8117.213648054562,No Impairment
6,4091.4166666666665,23906.5,2.0,8862.925196272516,No Impairment
3,8424.666666666666,24465.0,29.0,11346.371529651622,No Impairment
3,7971.0,22772.0,383.5,10467.00115442177,No Impairment
2,12565.5,24619.0,512.0,12053.5,No Impairment
6,3915.3333333333335,22708.0,2.0,8408.221049795386,No Impairment
1,26148.0,26148.0,26148.0,0.0,No Impairment
14,1644.642857142857,22890.0,0.0,5892.447473638762,No Impairment
2,12544.75,24742.0,347.5,12197.25,No Impairment
9,2436.5555555555557,20535.0,0.0,6403.480401072028,No Impairment
4,6353.875,24335.5,14.5,10383.868940422688,No Impairment
4,6486.0,25567.5,2.0,11017.501673473891,No Impairment
5,5050.2,24738.5,1.0,9845.813387425134,No Impairment
10,2120.45,20566.0,0.0,6149.605082645551,No Impairment
5,5193.3,24534.5,33.0,9674.57996814332,No Impairment
8,3051.5625,23513.0,0.0,7735.463558497561,No Impairment
3,8896.666666666666,26689.0,0.0,12581.079559755153,No Impairment
6,3856.1666666666665,23021.5,0.0,8571.033050662885,No Impairment
11,1859.2272727272727,20358.5,0.0,5849.995013065614,No Impairment
7,3453.4285714285716,23186.5,0.0,8058.323112642921,No Impairment
9,2591.1111111111113,22773.5,0.0,7136.393244714719,No Impairment
4,6369.5,25239.5,0.0,10895.031935474077,No Impairment
4,6511.125,24515.0,10.5,10399.111388569458,No Impairment
2,12613.5,25204.0,23.0,12590.5,No Impairment
3,8122.0,23644.0,4.0,10979.58141278619,No Impairment
7,2738.4285714285716,18805.5,0.0,6560.074898464908,No Impairment
5,4938.6,23677.0,0.0,9375.592532741597,No Impairment
3,8687.666666666666,24209.0,852.0,10975.410890815077,No Impairment
9,2621.4444444444443,22725.0,0.0,7109.540063434501,No Impairment
4,6145.875,24527.0,1.0,10612.354323941272,No Impairment
3,8277.166666666666,24031.0,37.5,11143.57920009944,No Impairment
10,2474.9,24320.0,0.0,7282.598364594878,No Impairment
7,3106.0,20934.5,0.0,7280.268519380705,No Impairment
4,5885.375,22437.5,62.5,9559.70813084139,No Impairment
2,13212.75,25328.0,1097.5,12115.25,No Impairment
3,8661.833333333334,25133.0,308.5,11647.270455156244,No Impairment
4,6148.125,24591.0,0.0,10647.998863489562,No Impairment
11,1884.1818181818182,20182.5,0.0,5787.07879391167,No Impairment
8,2752.375,21045.5,0.0,6919.212196621448,No Impairment
12,1739.7916666666667,19566.0,0.0,5377.532750010041,No Impairment
5,4938.6,24654.5,0.0,9857.953648704179,No Impairment
6,3874.0,21673.0,0.0,7966.2181742656285,No Impairment
6,3872.25,22349.5,0.0,8268.813723614368,No Impairment
5,4913.4,24507.5,1.5,9797.056774358307,No Impairment
4,5446.75,21280.0,2.5,9143.564611927888,No Impairment
6,3572.5,20541.5,1.0,7594.292341401315,No Impairment
13,1675.923076923077,20792.5,0.0,5520.964362689079,No Impairment
